skill_raw;observations;skill_normalized;possible_domains;possible_fields;type_of_skill;too_generic
Pipeline Operations;a pipeline could be both a real hydraulic pipeline and an informational one;Pipeline Operations;Hydraulic Engineering, Information Technology;Engineering, Information Technology;Hard;0
Data Room;most data rooms nowadays are just pieces of software, physical data rooms are extremely rare;Data Room;Data Management;Information Technology;Hard;0
WordPress;WordPress is a web development tool;WordPress;Web Development;Information Technology;Hard;0
job advertisements; this skill has two parts, marketing and HR;Recruitment Advertising;Recruitment, Advertising;Human Resources, Marketing;Soft;0
2ε;difficult skill to normalize, since 2ε is a version of LaTeX we will normalize it in that way;LaTeX;Markup Language;Information Technology;Hard;0
employment practices;the knowledge of labor law;Labor Law Knowledge;Labor Law;Human Resources;Soft;0
ability to lead and supervise a team of technicians; the ability to lead a team;Team Leadership;Team Management;Human Resources;Soft;0
SOP’s;SOP is an acronym, that probability stands for Standard Operating Procedures;Standard Operating Procedures;Business Management;Business Management;Soft;0
A&H;A&H is an acronym that stands for Allen & Heath, a company that produces audio mixing equipment;Mixing consoles;Audio Equipment;Miusic;Hard;0
Hilfsassistentin - Institute of Marketing and Business Management;Hilfsassistentin is a German word that stands for assistant;Assistant;Business Management;Business Management;Soft;0
Vendite;Vendite is an Italian word that stands for sales;Sales;Sales;Sales;Soft;0
Stochastic Modelling;Stochastic Modelling is a statistical skill;Stochastic Modelling;Statistics;Mathematics;Hard;0
plant startup and shutdown;this probably refers to experience in the startup and shutdown of industrial plants;Plant Startup and Shutdown;Plant Operations;Operations Management;Hard;0
patent offices;this skill probably refers to the knowledge of patent law;Patent Law;Intellectual Property and Copyright Law;Legal;0
results driven;too generic;Result Driven;Mental Skills;Personal Skills;Soft;1
Technical Report Writing;the ability to write technical reports is a form of comunication;Technical Report Writing;Written Communication;Communication;Soft;0
Patent Law;Patent Law is a legal skill;Patent Law;Intellectual Property and Copyright Law;Legal;0
professional ethics;too generic;Professional Ethics;Mental Skills;Personal Skills;Soft;1
written communication;this skill is a form of communication;Written Communication;Written Communication;Communication;Soft;0
computer software;too generic, but is related to informatics;Computer Software;Computer Skills;Information Technology;Hard;1
goal orientation;too generic;Result Driven;Mental Skills;Personal Skills;Soft;1
ReSharper;ReSharper is a visual studio extesion for software development;ReSharper;Software Development;Information Technology;Hard;0
63 Licenses;the Series 63 is a securities exam and license;Series 63;Financial Securities;Financial Services;Hard;0
lift 50 lbs. on a daily continuous basis;a physical skill;Physical Strenght;Physical Skills;Personal Skills;Hard;0
production supervisor;this is the ability to supervise a production line;Production Supervision;Production Management;Operations Management;Soft;0
asset protection;the ability to protect financial assets;Asset Protection;Financial Security;Financial Services;Soft;0
customer-first mindset;Prioritizazion
hydraulic;Hydraulic System Maintenance 
Mem authorization;Environmental Science
data presentation;Data Visualization
database updating;Database Administration
Import Documents;International Trading
Shaping Brand Experience;Brand Marketing
Geothermal Energy;Energy Management
hiring policies;People Management
showroom;Product Management
Flat;Tire Maintenance
Industrial Design;Industrial Design
power source;Energy Management
Microsoft XML;Data Analytics
Flask;Web Development
Gucci history and heritage;Passionate
risk-taking;Risk Management
SRS;Sales
Git;Git
Import Documents;International Trading
motorsport;Sports Marketing
experience working with key opinion leaders and influencers;Interpersonal Skills
Python programming language;Python
solutions developer;Training
managerial competencies;Management
Integration Platforms;Project Management
commercial acumen;Entrepreneurship
steel components;Mechanics
Digital Sales;Sales
User Support;Customer Support
operational research;Research
Shop Floor Management;Sales
improving;Result Driven
Management of Hazardous Waste;Waste Management
Serverless;Web Design
Pasteurization;Biology
machine testing and inspection;Auditing
ability to work independently;Autonomy
Qualtrics;Business Management
Leadership Development;Leadership
cross-functional leadership;Leadership
Time-efficient;Prioritization Skills
power point;Microsoft PowerPoint
Learning Management Systems;Business Management
visual management;Data Visualization
company communication management using email and fax;Communication
Food and Drinks;Food and Beverages Management
Process optimization;Automation
Link Selling;Digital Marketing
ReactiveX;Computer Programming
HR;HR
business needs;Business Planning
Aerospace Engineering;Aerospace Engineering
lifting up to sixty (60) pounds;Physical Endurance and Skills
Primavera P6;Primavera
Apache MyFaces Tomahawk;Apache MyFaces Tomahawk
communication with utilities and system operators;Communication
production support;Product Management
Particle Physics;Physics
fashion industry;Apparel and Fashion Design
Go-to-market;Sales
Usability;Usability Testing
Application Management;Business Management
Serve;Administrative Assistance
glass-glass;Materials Engineering
merchandise flow;Product Management
curing process;Auditing
Computational Neuroscience;Neuroscience
Unobtrusive Javascript;JavaScript
sensory perception;Physical Endurance and Skills
product demonstration;Product Marketing
luxury environment;Luxury Management
proactive;Problem Solving
Cleantech;Sustainability
evaluation tests;Product Management
Intercompany Deliverables Archiving;Data Management
Apache Mesos;Apache Mesos
vehicle operation and maintenance;Automotives
Start-ups;Entrepreneurship
Mailchimp;Mailchimp
Retail;Retail
good communication;Communication
Facebook Ad;Social Media Marketing
Spanish (optional);Spanish
drug screening;Medical Advice
Typography;Typography
quantitative research;Research
Failure Mode and Effect Analysis;Data Analysis
accuracy;Attention to Detail
CEO Communications;Communication
security standards;Security Protocols
ability to use electrical test equipment such as DMM;Power Engineering
Safety Case Management;Health and Safety
record-keeping;Business Administration
404 Compliance;Accounting
Handbags;Apparel and Fashion Design
Villahermosa;Market Research
Cordova;Apache Cordova
Microsoft Certified;Microsoft Windows
auxiliary workers;Corporate and Business Law
Surveying;Survey Design
market trends;Market Research
including eMobility and the positioning of Enel X and competition;Business Strategy
identification of new development opportunities;Business Development
systems improvement;Computer Science
Technological Improvement;Tech Savvy
cross-communications planning;Communication
Order entry;Data Entry
Cloud Migration;Cloud-Computing
Marketing Communications;Marketing Management
Human Resource Planning;People Management
high voltage gloves;Electrical Wiring
Reliability Engineering;Reliability Engineering
C#;C#
Project Team Management;Project Management
Strategic Leadership;Leadership
Corporate Relations;Corporate Governance
Python (a plus);Python
LNG market;Fuel Distribution and Logistics
probability;Statistics
legalization;Legal Counseling
AHWD;People Management
Energy Market Design;Energy Management
Google Cloud Platform (GCP);Google Cloud Platform
python programming;Python
quantitative testing;Auditing
650D;Photography
following policies and procedures;Workplace Policy Conduct
Industrial Assets;Business Management
Talent Acquisition;Talent Acquisition and Recruitment
Databases;Database Administration
adherence;Resilience
corporate development;Business Development
meeting deadlines;Time Management
Relaunch;Product Development
Waitressing;Table Service and Waitstaff Skills
Radio Frequency;Telecommunications
Ability to handle stress and manage crisis situations;Resilience
reaching;Physical Endurance and Skills
store assortments;Business Administration
Virtual Design;Graphic Design
luxury retail knowledge;Luxury Management
legal opinions;Legal Counseling
ability to review and interpret single line diagrams;Electrical Wiring
subcontractor;Business Process
IT Troubleshooting;IT Operations & Management
automotive industry knowledge;Automotives
digital literacy;Digital Awareness
Cobit;IT Operations & Management
sun simulator;Biochemistry
CDL driver’s license acquisition;Driver License Ability
immigration;Immigration Law and Visa Services
ADFS;Active Directory
POS system;POS Design
Statistical Data Analysis;Data Analysis
deep technical expertise in energy fundamentals;Energy Management
Vertriebsmanagement;Sales
dynamic positioning;Naval Engineering
time-management;Prioritization Skills
Web Services;Web Development
sales/account planning;Accounting
Recording Studio;Music
SAP HANA;SAP HANA
User Research;User Experience Design
SQDCG;Business Process
GIS;Environmental Science
Embedded SQL;SQL
customer escalations;Customer Support
HR Tracking;HR Analytics
material organization;Materials Management
naval design;Naval Engineering
ACT CRM;Customer Relationship Management
night;Flexibility
Costs and Benefits;Benefits Administration
Brand Loyalty;Brand Marketing
technical skills;Operations Management
3D Particles and Dynamics;Graphic Design
3Com NBX;Telecommunications
Internet Explorer;Internet Explorer
cleaning;Maintenance
experience with an ETRM/CTRM solution;Software Development
Mock Synchronization;Simulations
Microsoft Office and SQL Server software proficiency;Microsoft Office
Media Relations;Digital Marketing
facility management and reporting systems proficiency;Reporting
fueling vehicles and equipment;Automotives
Spanish and Portuguese (optional);Communication
Microsoft Fluency;Microsoft Suite
Battery Technician;Energy Management
mobile development;Mobile Applications
A10;Problem Solving
JSA’s;Health and Safety
IP asset economic value definition;Legal Counseling
new client acquisition;New Business
Book Publishing;Typography
Regional Visits;Auditing
industrial electronic devices;Electronics
Microsoft Visual Basic for Applications;Microsoft Visual Studio
24x7;Customer Support
AAR;Legal Counseling
previous experience;Experienced
on-site supervision;Operations Management
laboratory experience;Biochemistry
time management;Time Management
Safety Instructions;Health and Safety
safe systems of work;Health and Safety
Front End Developer;Frontend Development
market knowledge;Market Research
Spanish;Spanish
XGBoost;Machine Learning
client relationship building;Customer Relationship Management
Vue.js;Vue.js
Employee Engagement;People Management
virtualization;Innovation
Facebook Insight;Social Media Marketing
Kotlin;Kotlin
client relationship strategies;Customer Relationship Management
Car Quality;Automotives
Lockout Tag;Health and Safety
Employee Benefits;Benefits Administration
Italian (optional);Italian
Debug;Software Development
Microsoft tools;Microsoft Office
Newsletter;E-Mail Marketing
Ecard Planning;Financial Services
Document Tracking;Operations Management
App Marketing;Marketing Management
willingness to work alternating hours;Flexibility
material inspection;Auditing
product knowledge training;Training
customer presentation;Communication
Coupa;Business Management
demand management tools;Process Management
human rights;Public International Law
Pardot;B2B Marketing
trainings;Training
siting;Maintenance
General Chemistry;Chemistry
Macroeconomics;Economics
SAP Operating System;SAP
automotive sector;Automotives
hands-on;Proactivity
Claims Validation;Customer Support
personnel safety awareness;Health and Safety
Italian language proficiency is a plus;Italian
21 CFR;Legal Counseling
IT Strategies;IT Operations & Management
performance review;People Management
Sizing;Business Management
SAP Billing;SAP
ADINA;ADINA
work instructions;Employee Training and Development
ability to work weekends;Flexibility
customer needs assessment;Customer Relationship Management
paper pick up;Operations Management
Brand Image Management;Brand Marketing
maintenance policy;Workplace Policy Conduct
retail industry;Retail
Operational Turnaround;Operations Management
SOAP;Web Development
A2A;Problem Solving
quality control procedures;Quality Control
Cryptography;Web Development
deep knowledge of IT projects in retail business area;IT Operations & Management
Microsoft Azure Data Services;Microsoft Azure
Inclusive Design;Concept Design
HSE Engineering;Sustainability
rehab;Rehabilitation
meggers;Power Engineering
Flexibility and ability to work as part of a team;Teamwork
IT Risk Management;IT Operations & Management
Naval Auditing;Naval Engineering
firewall rules;Network Administration
Spare Parts;Maintenance
recordkeeping;Business Administration
route optimization;Operations Management
space planning;Industrial Planning
crane operation;Construction
Ticketing;Accounting
Ability to follow safety policies and procedures;Health and Safety
Molecular Biology;Biology
technical constraints;Operations Management
Oracle SQL Developer;Oracle SQL Developer
French language;French
real-time and batch analytics;Data Management
Brand Planning;Brand Marketing
Weinverkostung;Wine Tasting
discretion;Work Ethic
Recon Analytics;Risk Management
Time Tracking;Time Management
MATLAB);Matlab
Plant Engineering;Energy Management
Project;Project Management
Brand Awareness;Brand Marketing
mixed-integer and stochastic programming);Calculus
commodity contracts;People Management
exceeding expectations;Productivity
Industrial Control;Business Management
ISO 50001 knowledge.;ISO 50001
5ESS;Electrical Wiring
production processes;Product Development
Internet Business Strategy;Business Strategy
technician II;Technician
allergen matrices;Nutrition and Dietary Consulting
A/R Collections;Accounting
negotiation management;Negotiation
IP;Cybersecurity
Synchronization;Simulations
Lead Management;Lead Generation
Dart;Dart
401(k);Accounting
hand tool usage;Manufacturing
Java Certified Programmer;Java
Adobe;Adobe
encapsulants;Product Management
Display Advertising;Advertising
Snapchat;Social Media Marketing
team training;Training
Cognos;Cognos
bagging;Product Management
aluminum fabrication;Product Management
inventory accuracy;Inventory Management
analytical problem-solving;Problem Solving
community service;Public Services
agile working;Project Management
Retail Price Management;Cost Analysis
pre-sales support;Customer Relationship Management
Databricks;Microsoft Azure
microbiology;Microbiology
Stock Analysis;Product Management
strategic marketing;Marketing
68k Assembly;Microcontrollers
energy expertise;Energy Management
ADA Compliance;Legal Counseling
performance analysis;Performance Analysis
68HC11;Microcontrollers
NVQ3 qualified;Well Educated
fleet management;Operations Management
pre-trip inspection;Auditing
Recruitment;Talent Acquisition and Recruitment
Office;Microsoft Office
physical requirements;Physical Endurance and Skills
Conversion Optimization;Accounting
efficiently;Attention to Detail
Angular;Angular
Ecards;Financial Services
Cisco Technologies;Cisco Systems
communication skills (verbal and written);Communication
mold profiles;Biochemistry
robots;Robotics
technical career path;Proactivity
corrective action;Maintenance
degree/diploma or master;Well Educated
business partnership;Operations Management
customer presentation skills;Communication
continuous training;Resilience
SAP Big Data;Big Data
services;Customer Support
commitment to ongoing learning;Resillience
A&E;Music Publishing
general labor duties;Physical Endurance and Skills
potting dispensers;Electronics
Calculus;Calculus
Dynamic Behavior Analysis;Business Analysis
E-business;E-Commerce Management
Poster;Photo Editing
wheel alignment;Fleet Maintenance
Linkedin Marketing;Social Media Marketing
Grafikdesign;Graphic Design
Sun Java System Web Server;Java
demonstrated success as a client advisor;Corporate and Business Law
assessment and selection;Business Analysis
Front end SEO & Analytics developer;Frontend Development
asset management;Business Management
Microsoft Software Training;Microsoft Windows
influencing;Influencing Skills
suppliers;Business Planning
monthly sales objectives;Business Analysis
Ricerca;Research
Environmental Impact Assessment;Sustainability
statistics/machine learning;Machine Learning
3GPP;Telecommunications
C;Clang
energy usage forecasting;Energy Management
Process Specification;Process Management
Solar PV;MEP Engineering
waste monitoring;Waste Management
Diagnostic and Repair;Maintenance
sales forecasting;Business Planning
ADP E-Time;People Management
Citrix;Software Development
stockroom organization;Product Management
80x86;Microcontrollers
deep-learning ML architectures;Machine Learning
Computer Hardware;Computer Hardware Maintenance
qualitative research;Research
client interface;User Experience Design
product assistant;Product Management
Multi-cultural team building;Team Management
oral and written communication skills;Communication
1-3 years of experience in the US deregulated power industry;Power Engineering
compliance risk assessment;Regulatory Compliance Law
SugarCRM;Customer Relationship Management
deep knowledge of energy storage;Energy Management
roll-off containers;Operations Management
international shipping;Operations Management
subject matter expert;Communication
Security Policy;Security Protocols
Contract Writing;People Management
Legislative Decree;Legal Counseling
Brand Perception;Brand Marketing
mechanical work;Mechanics
Photo Management;Photo Editing
disability insurance;Healthcare Administration and Management
Tire Technology;Tire Maintenance
Cisco nologies;Cisco Systems
supervision and management of a project team;Leadership
Exchange Traded Fund;Budgeting
Translations;Translation
client relations;Customer Relationship Management
Data Structures;Data Analysis
ERP;ERP
proficiency in languages considered a strong asset;Communication
fabrics;Clothing Industry Process
JBoss Application Server;Jboss
damaged tire improvement;Tire Maintenance
case studies;Research
best practices and performance standards (i.e. Design engineering British Standards);Operations Management
Inglês;English
Failure Analysis;Data Analysis
dispatcher;Operations Management
Co-branding;Brand Marketing
copy;Business Analysis
20th Century;History
team;Teamwork
performance tracking;Performance Analysis
Pet Resin;Chemistry
high-level decision making;Decision Making
hand drawing;Graphic Design
knowledge of Lock-Out-Tag-Out (LOTO);Security Protocols
credit ratios analysis;Accounting
contract knowledge;People Management
Apache Webserver;Apache HTTP Server
Proposal Vetting;Business Strategy
Brand Equity Development;Brand Marketing
Java AWT;Java
Big Data Management;Big Data
written;Communication
3D displays;Graphic Design
Online Media Management;Social Media Marketing
Traffic Analytics;Data Analytics
clerical work;Clerical Process
credit solutions;Financial Services
mergers and acquisitions;Mergers & Acquisitions
international mobility;International Relations
relational skills;Interpersonal Skills
collection;Data Collection
bs;Well Educated
Shelf Analysis;Inventory Management
quality system maintenance;Quality Control
store visits;Auditing
Data Provision;Data Collection
luxury retail management;Luxury Management
Pivot;Statistics
electrical design;Electronics
C# Programming;C#
graph database;Database Administration
store operations manager;Operations Management
European Integration;Business Development
accident prevention;Health and Safety
Seocopywriter;Copywriting
business partner;New Business
stock replenishment;Inventory Management
contracting experience;People Management
wheel end assembly;Tire Maintenance
business trends;Business Analysis
results-driven mentality;Result Driven
precision;Attention to Detail
gap analysis;Business Analysis
matrix environment;Business Management
financial goals;Financial Services
B2B sales;B2B Marketing
Symantec Backup;Backup Management
oil and products related roles;Oil and Gas Management
knowledge of Commodity and Energy markets;Energy Management
commercial projects;Project Management
Paypal;PayPal
Lingua italiana;Italian
ProjectLibre;Project Management
RPA;RPA Developer
Public Transport;Automotives
Revenue Agency;Accounting
Supplier Relationship Management;Customer Relationship Management
technical due diligence;Quality Control
Microsoft IIS;Microsoft IIS
work ethic;Work Ethic
store operations;Business Administration
proration;People Management
Newsletters;Communication
Cloud Integration;Cloud-Computing
Intercompany Accounting;Accounting
parental leave;People Management
sense of urgency;Time Management
equipment cleaning;Maintenance
Affiliate Management;Affiliate Marketing
relational database;Database Administration
java/.net development;Java
implementation;Business Administration
Lean Six Sigma;Project Management
SAP product;SAP
Commercial Driver;Driver License Ability
statutory financial statements;Financial Services
KYC;Consumer Behavior Analysis
project investment valuation;Project Management
Command Line;Leadership
shelf;Inventory Management
directing traffic at the site;Traffic Directing
remediation technologies;Chemistry
procurement process;Procurement
Windows Azure;Microsoft Azure
automotive industry;Automotives
customer data;Data Collection
MySQLi;SQL
operational excellence;Business Management
numerical methods;Calculus
Organization Skills;Organizational Skills
ROS;Business Analysis
ACSR;Electrical Wiring
passion for brand;Brand Marketing
Microsoft HR Software;HR
routine analysis;Data Analysis
heavy equipment operation;Product Management
802.1ag;Network Administration
Red Hat JBoss Fuse;Jboss
qualifications;Qualified
Red Hat JBoss Fuse;Jboss
innovative thinking;Proactivity
inquisitive mindset;Analytical Skills
Diesel Mechanic;Petroleum Engineering
interviewing skills;Talent Acquisition and Recruitment
Veicoli;Automotives
Request for Quotation (RFQ);Sales
factoring/reverse factoring expertise;Corporate Finance
PPE;PPE Management
web architectures;Web Development
statistical programming;Statistics
insurance industry;Healthcare Administration and Management
Automotive Aftermarket;Automotives
computer literate;Digital Awareness
Arc Flash Suit;PPE Management
News Writing;Typography
ESRI;Environmental Engineering
IT Policy;IT Operations & Management
Electrochemical Characterization;Electrochemical Characterization
delivery management;Operations Management
refuse bins lifting;Operations Management
Complexity Management;Business Management
Multi-cultural Team Management;Team Management
individual training course;Training
meeting room booking through Outlook;Microsoft Outlook
Total rewards;People Management
Offer Management;Business Management
Stock Reporting;Inventory Management
Microsoft Cloud Adoption;Microsoft Azure
8 Wastes;Manufacturing
Key-Account-Management;Account Management
vibration monitoring equipment operation;Maintenance
sales opportunities;Sales
ADMET;Pharmacology
business recruitment;New Business
Microsoft Attention to Details;Microsoft Office
physical strength;Physical Endurance and Skills
applicable codes;Industrial Engineering
trading strategy;Trading
Fortinet;Software Development
Systems Scouting;System Administration
Computational Physics;Physics
Objective C;Security Protocols
diagnostic;Data Analysis
design;Graphic Design
ASP.NET;ASP.NET
omnichannel solutions;Business Development
problem resolution;Problem Solving
ETL;Data Science
relevant engineering degree;Engineering
experience with energy usage data analysis and interpretation;Energy Management
collections;Sustainability
Online publishing;Publishing
dental;Benefits Administration
brand standards;Brand Marketing
Business Process Analysis;Business Process
Shore Safety;Naval Management
Distributed Algorithms;Algorithms
Customer Sales;Retail
emotional intelligence;Empathy
Java Naming and Directory Interface (JNDI);Java
Construction Site Inspections;Web Development
security awareness;Health and Safety
Cost Optimization;Accounting
supervisory skills;Operations Management
international team management;Team Management
fluidic drawings;Graphic Design
Hotel Management;Hotel Management and Operations
program management;Business Management
3GPP2;Telecommunications
software support;Customer Support
Fork Manager;Rigid Vehicles
customer base development;Business Strategy
supply chain financing;Supply Chain Management
Branding Consultancy;Brand Marketing
feedback and coaching;Employee Training and Development
all-weather gear;PPE Management
pressure management;Resilience
technical standards;Operations Management
Software Requirements Analysis;Software Development
installation and service quotes preparation;Project Management
loading trailers;Warehouse Management
personnel support;People Management
Portuguese/Brazilian;Portuguese
MapReduce;Software Development
UK GAAP;Accounting
Airports;Airport Management
Enigma;Software Development
Personalbeschaffung;Military Service
photoluminescence;Biochemistry
luxury fashion industry;Apparel and Fashion Design
lifelong learning;Result Driven
Tennis;Tennis
rics;Survey Design
Team Foundation Server;People Management
1120S;Legal Counseling
CRM implementation;Customer Relationship Management
product specialist;Product Management
computer engineering;Computer Engineering
continuous skills enhancement;Result Driven
home daily;Flexibility
Investments Monitoring;Financial Services
warehouse operations;Warehouse Management
and LOTOs initiation;Health and Safety
ability to lift 35 pounds;Physical Endurance and Skills
Autodesk InfraWorks;Autodesk Suite
cloud security;Cybersecurity
Pivot Tables;Statistics
battery energy storage system;Energy Management
order processing;Order Processing
Corporate Communications;Communication
current/voltage sensors;Electrical Wiring
independent thinking;Problem Solving
RFID;Telecommunications
SQF;Food and Beverages Management
Shelf Management;Inventory Management
troubleshooting and repair of solar inverters;Power Engineering
Spark;Spark
Manage People;People Management
Hedging;Risk Management
CUDA;CUDA
AHDL;Computer Science
full cycle recruiting;Talent Acquisition and Recruitment
laser cutting;Manufacturing
dispute resolution;People Management
Pivot;Statistics
Inverter Spare Parts;Electrical Wiring
site vehicle operation;Automotives
1940 Act;History
Microsoft nologies;Microsoft Office
Nutritional Claims Development;Customer Support
quality work;Qualified
First Level Support Contracts;People Management
SolidWorks;SolidWorks
Coordination Chemistry;Chemistry
International Organizations;International Relations
Social Entrepreneurship;Entrepreneurship
CRM management;Customer Relationship Management
Pro Engineer;Engineering
Manual Data Analytics;Data Analytics
PM's;Project management
GaBi suite;Sustainability
problem solving skills;Problem Solving
Customer Advice;Customer Support
new technologies;Tech Savvy
Resolution;Problem Solving
English fluency;English
SQCDME;Business Management
low- and medium-voltage equipment;Electrical Wiring
Microsoft ServiceNow;ServiceNow
technical understanding;Tech Savvy
and acquisitions and define terms for potential acquisitions;Project Management
3DCom;Graphic Design
Tagetics;Tagetik
negotiation skills;Negotiation
hse requirements;Sustainability
Container Technologies;Docker
Inverter Troubleshooting;Electrical Wiring
Click and collect;Delivery Process
Web Content Writing;Digital Marketing
3P;Database Administration
Maven;Java
Structural Mechanics;Mechanics
strong work ethic and commitment to completing tasks;Work Ethic
Communication Technology;Communication
Cloud Native Applications Development;Software Development
food preparation;Culinary Arts and Professional Cooking
loyalty;Work Ethic
Project Delivery;Project Management
trucks;Rigid Vehicles
numerical methods (nonlinear regression;Calculus
English communication;English
education industry experience;Early Childhood Education and Preschool Teaching
Joint Development;Product Management
Table;Software Development
Competitive Bid;Bidding
RTVS;Process Management
Contract Administration;People Management
customer-facing web applications;Frontend Development
luxury industry;Luxury Management
proficiency in Italian and English;Communication
changing environment;Flexibility
Industrial Machinery;Industrial Engineering
Web Salesforce;Sales
merchandise management;Product Management
maintenance planning and scheduling;Organizational Skills
equipment safety hazards;PPE Management
efficiency;Time Management
Google suites;Google Suite
trust-based relationship building;Interpersonal Skills
disability leave;People Management
Formulation Chemistry;Computational Chemistry
SAN;Data Storage
three-phase power systems;Power Engineering
company policies adherence;Workplace Policy Conduct
Mail Flow;Communication
customer-centric mindset;Business Strategy
Safety Control;Health and Safety
integration projects;Project Management
branding and profile-raising at industry events;Brand Marketing
Vehicle Compliance;Automotives
Style;Fashion Styling and Personal Shopping
successful negotiation management;Negotiation
stock control;Inventory Management
IT Governance;IT Operations & Management
Printing;Graphic Design
fast-paced decision making;Decision Making
Drupal;Drupal
Flexible Gucci;Retail
18th Century;History
trend analysis;Market Research
Operational Power Plant Experience;Energy Management
legal compliance;Regulatory Compliance Law
Homepage;Web Design
luxury;Luxury Management
cleanliness maintenance;Maintenance
experience with mechanical engineering within a COMAH site (refinery;Mechanical Engineering
employee lifecycle;People Management
vehicle maneuvering;Rigid Vehicles
month end reporting;Reporting
Open Source Software;Software Development
authorization process;Legal Counseling
proficiency in MsExcel;Microsoft Excel
project management skills;Project Management
strong commitment;Resilience
shipping industry experience;Supply Chain Management
task organization;Organizational Skills
UI Testing;User Experience Design
confined spaces;Physical Endurance and Skills
COBOL;Business Strategy
Military History;History
and Wi-Fi;Telecommunications
Green Chemistry;Environmental Chemistry
Tag Command;Web Development
SAP Recipes;SAP
CSC;Digital Literacy
Public Speaking;Communication
credit policies;Accounting
Heavy Machinery;Rigid Vehicles
People management;People Management
employee induction;Employee Training and Development
Microsoft Software Certification;Microsoft Windows
Demand Generation;Lead Generation
Automotive Parts;Mechanics
AutoCAD Civil 3D;AutoCAD
drug and alcohol testing;Medical Advice
heavy lifting;Rigid Vehicles
safe work practices;Health and Safety
Cost Engineering;Budgeting
emergency response planning;Security Protocols
trend;Market Research
Environmental Impact Studies;Environmental Engineering
Radio and Television Journalism;Journalism
regional merchandising;Merchandising
Product Quality Analysis;Product Management
selling expertise;Sales
Data Privacy and Compliance;Data Privacy Compliance and Regulations Law
Legal Certification Files;Corporate and Business Law
mechanical procedures;Mechanics
Driver Debrief;Driver License Ability
front-end development;Frontend Development
power plant maintenance and operations;Power Engineering
flexible spending accounts;Accounting
electric vehicle;Automotives
costs;Budgeting
firmware testing;Test-Driven Development
business growth;Business Development
Salute e sicurezza sul lavoro;Health and Safety
shift logs;Data Collection
front of house;Customer Support
Sports marketing;Sports Marketing
energy management consulting;Energy management
Food and Drink;Food and Beverages Management
strong decision making skills;Decision Making
marketing effectiveness;Marketing Management
hydraulic troubleshooting;Hydraulic System Maintenance 
azure cloud services;Microsoft Azure
stick welding;Product Management
cultural sensitivity;People Management
agile;Physical Endurance and Skills
Microsoft PowerShell;Microsoft PowerShell
Java2D;Java
Technological Innovation;Innovation
fixed assets;Business Management
proficiency in Excel and;Microsoft Excel
Ambient Politics;Politics
React.js;React
Security Technologies;Cybersecurity
lambda;AWS
Commercial Transactions;Accounting
Wireline Interpretation;Electrical Wiring
Energy Systems Analysis;Energy Management
capacity centering;Data Management
Workplace Channel Management;People Management
Facebook Business Manager;Social Media Marketing
Managerial Finance;Financial Services
international travel;Traveling
Legal Training;Corporate and Business Law
recycling facility;Sustainability
bridge;Structural Engineering
Pipefitting;MEP Engineering
Ad hoc Analysis;Business Analysis
UX;User Experience Design
Microsoft MCAD;Microsoft MCAD
upstream;Naval Engineering
Quantum Mechanics;Quantum Mechanics
Reverse Polish Engineering;Engineering
completion;Sales
Rig Coordination;People Management
Matlab;Matlab
Property Valuation;Real Estate and Property Law
Oracle BIEE;Oracle
client advisor;Legal Counseling
project optimization;Project Management
adhesives;Electrical Wiring
work independently;Productivity
dynamic approach;Business Strategy
Hotelaria;Hotel Management and Operations
Cascading Style Sheets (CSS);CSS
load optimization;Operations Management
Software Programming;Software Development
Vogue;Apparel and Fashion Design
Marketing;Marketing Management
I-V curves;Electrical Wiring
Contactless Strategy;Marketing Management
inclusivity;People Management
Volatility Arbitrage;Financial Services
guidance;Employee Training and Development
strategic vision;Business Strategy
APICS;Supply Chain Management
Management Development;Management
fleet/vessel operations;Naval Engineering
trust-building;Interpersonal Skills
customer segmentation;Market Research
residential;Business Development
Galileo;Galileo
Customer Interviews;Customer Relationship Management
Lithography;Art
supervisory experience;Operations Management
financial offers;Business Management
Reverse-Engineering;Civil Engineering
technical aptitude;Qualified
smart grid technology;Web Development
Brand Development;Brand Marketing
liaising with stores;Business Strategy
ansble;Ansible
CCP procedures;Food Safety
design studies;Graphic Design
Traffic Ticket;Traffic Directing
law enforcement liaison;Federal and State Law
Know How;Proactivity
Interpersonal relationships;Interpersonal Skills
Surfactants;Biochemistry
chemicals engineering;Chemical Engineering
sales skills;Sales
10Q;Accounting
ADO.NET;.NET
quantitative skills;Analytical Skills
influencing skills;Influencing Skills
Brand Evolution;Brand Marketing
Job Order Management;Change Management and Organizational Development
Remote System Health Checks;Healthcare and Medical Services
technical analysis;Process Management
Net Zero Closing Development;Sustainability
degree or diploma in engineering/technical discipline;Engineering
Plant Optimization;Energy Management
Sensory Analysis;Food Science
DC circuits;Electrical Wiring
delegation;Organizational Skills
3rd Line Support;Customer Support
adherence to productivity standards;Work Ethic
predictive analytics;Business Analysis
multidisciplinary teams;Teamwork
dishwashing;Maintenance
energy spend forecasting;Energy Management
AspDotNetStorefront;ASP.NET
upstream chemicals;Petroleum Engineering
Wax Simulations;Oil and Gas Management
or forecasting;Business Analysis
Retail Development;Retail
diversity and inclusion awareness;Diversity and Inclusion Initiatives Training
steel;Mechanics
new client development;New Business
wheels;Mechanics
constructive feedback;People Management
Technological Advice;Tech Savvy
MES;MES
technical solutions;Software Development
chemical handling;Chemistry
